date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DEUTSCHE BANK AG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-06-04,447390890.0,30636194.0,25155006.0,2156580.0,4975598.0,3997433.0,1007841.0,887074.0,706373.0,0.0
2024-06-05,447530710.0,30472286.0,25102927.0,2171880.0,4937610.0,3872990.0,997271.0,924617.0,835873.0,0.0
2024-06-06,446702366.0,30721333.0,25099627.0,2174444.0,5390347.0,4055431.0,875258.0,913966.0,843273.0,2987382.0
2024-06-07,445856077.0,30906653.0,25538027.0,2196498.0,4966437.0,4323273.0,962385.0,909997.0,846973.0,2993432.0
2024-06-11,445973609.0,31281182.0,25446527.0,2212948.0,5063894.0,4153674.0,998315.0,857096.0,836973.0,0.0
2024-06-12,446478336.0,30726495.0,25407677.0,2237698.0,5176483.0,4185307.0,1121014.0,932760.0,719768.0,3008082.0
2024-06-13,446328952.0,30806303.0,24894077.0,2262248.0,5246863.0,4142101.0,1345763.0,776207.0,764868.0,3014532.0
2024-06-14,446286895.0,30839678.0,24901177.0,2277822.0,5181740.0,4102201.0,1057824.0,830568.0,770968.0,0.0
2024-06-17,446163296.0,30741621.0,25375125.0,2284922.0,5224924.0,3951193.0,1249460.0,972037.0,750018.0,0.0
2024-06-18,446577187.0,30929344.0,23778675.0,2270622.0,5485692.0,4165883.0,1240560.0,1426581.0,0.0,0.0
2024-06-19,446436494.0,31673460.0,23753875.0,2274722.0,5230904.0,4180168.0,986285.0,946360.0,750126.0,0.0
2024-06-20,445828167.0,31748875.0,23657718.0,2251960.0,5765233.0,4224912.0,971721.0,1064798.0,749326.0,2989882.0
2024-06-21,445818147.0,31757225.0,23700653.0,2254860.0,5450471.0,4232862.0,1103993.0,1024835.0,751476.0,0.0
2024-06-24,446055066.0,31464786.0,23842303.0,2254890.0,5441895.0,4189281.0,1116052.0,993074.0,750796.0,2979382.0
2024-06-25,446429785.0,31634280.0,23648553.0,2254745.0,5412869.0,4182230.0,1364080.0,1109247.0,751031.0,0.0
2024-06-26,446021585.0,31852160.0,23375203.0,2242465.0,5249964.0,4265287.0,1445868.0,991445.0,0.0,2951782.0
2024-06-27,446015297.0,31675846.0,23410981.0,2246565.0,5383856.0,3498938.0,1517415.0,1032645.0,759994.0,0.0
2024-06-28,445943279.0,31670508.0,23409781.0,2248165.0,5690227.0,3561500.0,1504865.0,1019032.0,761544.0,0.0
2024-07-02,445897292.0,31509304.0,23648096.0,2229165.0,5664111.0,3330256.0,1572361.0,1127199.0,761253.0,0.0
2024-07-03,445880608.0,32599636.0,23880996.0,2236873.0,5373868.0,3269498.0,1433832.0,953710.0,761053.0,2973482.0
