date,HSBC BROKING SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF COMMUNICATIONS TRUSTEE LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,TOTAL_CCASS_PCT
2024-10-10,2.7618453998360586,2.2253099634132245,2.063157841051868,1.8490031934260274,1.5132383571459016,1.0681529457628622,1.1838829589559172,12.664590659591859
2024-10-14,2.7618453998360586,2.2253099634132245,2.063157841051868,1.8490031934260274,1.5132383571459016,1.0616477512088864,1.204049062073243,12.678251568155211
2024-10-16,2.7618453998360586,2.2253099634132245,2.063157841051868,1.8490031934260274,1.5132383571459016,1.063599309575079,1.204049062073243,12.680203126521402
2024-10-21,2.7618453998360586,2.2253099634132245,2.0566526464978923,1.8490031934260274,1.5132383571459016,1.0603467122980912,1.204049062073243,12.670445334690438
2024-10-22,2.7618453998360586,2.2253099634132245,2.0566526464978923,1.8490031934260274,1.5132383571459016,1.0609972317534888,1.204049062073243,12.671095854145836
2024-11-15,2.7618453998360586,2.2253099634132245,2.0566526464978923,1.8424979988720513,1.5132383571459016,1.0642498290304767,1.204049062073243,12.66784325686885
2024-11-18,2.7618453998360586,2.2253099634132245,2.0566526464978923,1.8620135825339792,1.5132383571459016,1.0642498290304767,1.204049062073243,12.687358840530777
2024-11-27,2.7618453998360586,2.2253099634132245,2.0566526464978923,1.8490031934260274,1.5132383571459016,1.1234470994716586,1.204049062073243,12.733545721864006
2024-11-28,2.7618453998360586,2.2253099634132245,2.0514484908547113,1.8490031934260274,1.5132383571459016,1.1234470994716586,1.204049062073243,12.728341566220823
2024-12-04,2.7618453998360586,2.2253099634132245,2.0514484908547113,1.8483526739706297,1.5132383571459016,1.1240976189270562,1.204049062073243,12.728341566220823
2024-12-05,2.7618453998360586,2.2253099634132245,2.0514484908547113,1.8477021545152321,1.5132383571459016,1.1579246306077313,1.204049062073243,12.761518058446104
2024-12-12,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7826502089754719,1.5132383571459016,1.122796580016261,1.204049062073243,12.656133906671691
2024-12-13,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7813491700646766,1.5132383571459016,1.1195439827392728,1.204049062073243,12.651580270483908
2024-12-16,2.7618453998360586,2.220105807770044,2.0514484908547113,1.780698650609279,1.5132383571459016,1.1195439827392728,1.204049062073243,12.650929751028512
2024-12-23,2.7618453998360586,2.220105807770044,2.0514484908547113,1.76963981986752,1.5132383571459016,1.1280007356594417,1.204049062073243,12.64832767320692
2025-01-23,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7689893004121222,1.5132383571459016,1.1377585274904056,1.204049062073243,12.657434945582485
2025-01-27,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7683387809567248,1.5132383571459016,1.1234470994716586,1.204049062073243,12.642472998108342
2025-02-03,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7670377420459293,1.5132383571459016,1.1247481383824536,1.204049062073243,12.642472998108342
2025-02-04,2.7618453998360586,2.220105807770044,2.0514484908547113,1.764435664224339,1.5132383571459016,1.1221460605608633,1.204049062073243,12.63726884246516
2025-02-05,2.7618453998360586,2.220105807770044,2.0514484908547113,1.765736703135134,1.5132383571459016,1.1280007356594417,1.204049062073243,12.644424556474535
2025-02-06,2.7618453998360586,2.220105807770044,2.0514484908547113,1.765736703135134,1.5132383571459016,1.129301774570237,1.204049062073243,12.64572559538533
2025-02-07,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7637851447689417,1.5132383571459016,1.1312533329364298,1.204049062073243,12.64572559538533
2025-02-10,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7637851447689417,1.5132383571459016,1.145564760955177,1.204049062073243,12.660037023404078
2025-02-11,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7637851447689417,1.5132383571459016,1.1475163193213698,1.204049062073243,12.66198858177027
2025-02-12,2.7618453998360586,2.220105807770044,2.0514484908547113,1.7637851447689417,1.5132383571459016,1.1468657998659721,1.204049062073243,12.661338062314872
2025-02-13,2.7618453998360586,2.2175037299484535,2.0514484908547113,1.8437990377828464,1.5145393960566969,1.1091356714529113,1.204049062073243,12.70232078800492
2025-02-17,2.7618453998360586,2.2175037299484535,2.0514484908547113,1.846401115604437,1.5145393960566969,1.1104367103637065,1.204049062073243,12.706223904737307
2025-02-18,2.7618453998360586,2.2175037299484535,2.0514484908547113,1.8451000766936416,1.5145393960566969,1.113038788185297,1.204049062073243,12.707524943648101
2025-02-19,2.7618453998360586,2.2175037299484535,2.0514484908547113,1.8444495572382442,1.5145393960566969,1.1188934632838754,1.1994954258854598,12.7081754631035
2025-02-20,2.7618453998360586,2.2175037299484535,2.035185504469771,1.8457505961490392,1.5145393960566969,1.1364574885796106,1.1994954258854598,12.71077754092509
2025-02-24,2.7618453998360586,2.2175037299484535,2.035185504469771,1.8516052712476176,1.5145393960566969,1.1364574885796106,1.1994954258854598,12.716632216023669
2025-02-25,2.7618453998360586,2.2175037299484535,2.035185504469771,1.8886848802052811,1.5145393960566969,1.135806969124213,1.1994954258854598,12.753061305525934
2025-02-26,2.7618453998360586,2.2175037299484535,2.035185504469771,1.8886848802052811,1.5145393960566969,1.1611772278847194,1.1994954258854598,12.778431564286441
2025-02-28,2.7618453998360586,2.2175037299484535,2.035185504469771,1.8880343607498833,1.5145393960566969,1.1663813835279002,1.1994954258854598,12.782985200474222
2025-03-03,2.7618453998360586,2.2175037299484535,2.035185504469771,1.9010447498578356,1.5145393960566969,1.1663813835279002,1.1994954258854598,12.795995589582176
2025-03-04,2.7618453998360586,2.2175037299484535,2.035185504469771,1.9003942304024377,1.5145393960566969,1.181343331002045,1.1994954258854598,12.810307017600921
2025-03-06,2.7618453998360586,2.2175037299484535,2.035185504469771,1.9003942304024377,1.5145393960566969,1.1819938504574425,1.1994954258854598,12.81095753705632
2025-03-10,2.7618453998360586,2.2175037299484535,2.035185504469771,1.9003942304024377,1.5145393960566969,1.18004229209125,1.1994954258854598,12.809005978690127
2025-03-13,2.7618453998360586,2.2175037299484535,2.021524595906422,1.8997437109470403,1.5145393960566969,1.1924021617438043,1.1994954258854598,12.807054420323935
2025-03-17,2.7618453998360586,2.2175037299484535,2.021524595906422,1.8997437109470403,1.5145393960566969,1.254852029461974,1.1994954258854598,12.869504288042105
2025-03-19,2.7618453998360586,2.2175037299484535,2.021524595906422,1.949183189557258,1.5145393960566969,1.2704644963915166,1.1994954258854598,12.934556233581866
2025-03-20,2.7618453998360586,2.2175037299484535,2.021524595906422,1.9485326701018606,1.5145393960566969,1.2815233271332758,1.1994954258854598,12.944964544868226
2025-03-21,2.7618453998360586,2.2175037299484535,2.016320440263241,1.9485326701018606,1.5145393960566969,1.2880285216872518,1.1994954258854598,12.94626558377902
2025-03-28,2.7618453998360586,2.2175037299484535,2.016320440263241,2.0135846156416206,1.5145393960566969,1.3537309866824097,1.1994954258854598,13.07701999431394
2025-04-07,2.7618453998360586,2.2175037299484535,2.016320440263241,2.0135846156416206,1.5145393960566969,1.3550320255932047,1.1994954258854598,13.078321033224736
2025-04-10,2.7618453998360586,2.2175037299484535,2.016320440263241,2.0135846156416206,1.5145393960566969,1.387557998363085,1.1994954258854598,13.110847005994614
2025-04-16,2.7618453998360586,2.2122995743052725,2.016320440263241,2.016186693463211,1.5145393960566969,1.4174818933113746,1.1994954258854598,13.138168823121314
2025-04-17,2.7618453998360586,2.2122995743052725,2.016320440263241,2.01098253782003,1.5145393960566969,1.4239870878653507,1.1994954258854598,13.13946986203211
2025-04-22,2.7618453998360586,2.2122995743052725,2.016320440263241,2.01098253782003,1.5145393960566969,1.4252881267761457,1.1994954258854598,13.140770900942906
2025-05-02,2.7618453998360586,2.2122995743052725,2.016320440263241,2.01098253782003,1.5145393960566969,1.4376479964287001,1.1994954258854598,13.153130770595459
