date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-04-30,0.0,0.0,0.0,1.533498086507208,1.0347971465819263,0.0,0.0,0.5039596493093798,0.022787740664424124,0.18756063469949089,3.2826032577624296
2024-05-02,0.0,0.0,0.0,1.533498086507208,1.0347971465819263,0.0,0.0,0.5024988967026859,0.022787740664424124,0.17821181801665023,3.2717936884728944
2024-05-03,0.0,0.0,0.0,1.533498086507208,1.0347971465819263,0.0,0.0,0.5016224451386696,0.018989783887020106,0.17499816228192375,3.263905624396748
2024-05-06,0.0,0.0,0.0,1.533498086507208,1.0347971465819263,0.0,0.0,0.4992852409679594,0.018989783887020106,0.17499816228192375,3.261568420226038
2024-05-08,3.732807211145475,0.0,0.18493128000744197,1.5443076557967428,0.956208656341797,0.0,0.0,0.4712387909194374,0.018113332323003793,0.16214353934301784,7.069750465876916
2024-05-09,3.732807211145475,0.0,0.28426245726262406,1.5329137854645307,0.9512420974790379,0.0,0.0,0.46072137215124165,0.017529031280326252,0.14549095962670788,7.124966914409944
2024-05-10,3.732807211145475,0.0,0.28426245726262406,1.5329137854645307,0.9512420974790379,0.0,0.0,0.46218212475793546,0.017529031280326252,0.14490665858403035,7.125843365973959
2024-05-13,3.732807211145475,0.0,0.28426245726262406,1.5329137854645307,0.9541636026924255,0.0,0.0,0.46890158674872723,0.018697633365681334,0.13906364815725492,7.1308099248367185
2024-05-14,3.732807211145475,0.0,0.24657504000992259,1.5329137854645307,0.9541636026924255,0.0,0.0,0.47591319926085773,0.016360429194971167,0.13906364815725492,7.0977969159254375
2024-05-16,3.732807211145475,0.0,0.2819252530919139,1.5329137854645307,0.9541636026924255,0.0,0.0,0.47182309196211497,0.016360429194971167,0.13906364815725492,7.129057021708686
2024-05-17,3.732807211145475,0.0,0.2819252530919139,1.5329137854645307,0.9737376876221232,0.0,0.0,0.47591319926085773,0.016360429194971167,0.13701859450788353,7.150676160287755
2024-05-20,3.732807211145475,0.0,0.26819417858899164,1.5329137854645307,0.9877609126463842,0.0,0.0,0.47007018883408225,0.01723688075898748,0.1381871965932386,7.14717035403169
2024-05-21,3.732807211145475,0.0,0.24657504000992259,1.5329137854645307,0.9877609126463842,0.0,0.0,0.46977803831274356,0.01723688075898748,0.1381871965932386,7.125259064931283
2024-05-22,3.732807211145475,0.0,0.24657504000992259,1.5329137854645307,0.9877609126463842,0.0,0.0,0.46598008153533954,0.018113332323003793,0.13847934711457738,7.1226297102392335
2024-05-23,3.732807211145475,0.0,0.24657504000992259,1.5548250745649386,0.9868844610823679,0.0,0.0,0.46598008153533954,0.018113332323003793,0.1381871965932386,7.143372397254286
2024-05-24,3.732807211145475,0.0,0.24657504000992259,1.5329137854645307,0.9868844610823679,0.0,0.0,0.46744083414203336,0.018113332323003793,0.1381871965932386,7.122921860760573
2024-05-27,3.732807211145475,0.0,0.24657504000992259,1.5329137854645307,0.9868844610823679,0.0,0.0,0.46890158674872723,0.018113332323003793,0.1381871965932386,7.124382613367267
2024-05-29,3.732807211145475,0.0,0.2775429952718323,1.5329137854645307,0.9900981168170944,0.0,0.0,0.47094664039809864,0.018113332323003793,0.1381871965932386,7.160609278013273
2024-05-30,3.732807211145475,0.0,0.2494965452233103,1.5329137854645307,0.9900981168170944,0.0,0.0,0.4782504034315679,0.018113332323003793,0.136434293465206,7.138113687870189
2024-05-31,3.732807211145475,0.0,0.2494965452233103,1.5329137854645307,0.997109729329225,0.0,0.0,0.47737395186755155,0.018113332323003793,0.13935579867859368,7.14717035403169
2024-06-03,3.732807211145475,0.0,0.24657504000992259,1.5393410969339836,1.0029527397560003,0.0,0.0,0.4785425539529067,0.018113332323003793,0.13935579867859368,7.1576877727998856
2024-06-04,3.732807211145475,0.0,0.24657504000992259,1.5393410969339836,1.007334997576082,0.0,0.0,0.4762053497821965,0.018113332323003793,0.13935579867859368,7.159732826449257
2024-06-05,3.732807211145475,0.0,0.24657504000992259,1.5381724948486286,1.0006155355852902,0.0,0.0,0.46598008153533954,0.018113332323003793,0.14023225024261002,7.1424959456902695
