date,CHONG HING SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD
2024-04-17,39.63236127728889,17.093220671474487,12.441270464393387,14.204675888069332,1.1396946854811645,0.0,7.649757519983336,3.755237003926163,4.083782489383245
2024-04-18,39.65225639409236,17.095656150031864,12.443043123158223,14.178203373811652,1.139857071612005,0.0,7.650847473758994,3.7557720581079757,4.084364355426927
2024-04-19,39.637572514709326,17.132054159964532,12.43843526068093,14.172952953100657,1.139434963886606,0.0,7.642317064927198,3.7543812342581715,4.082851848472583
2024-04-23,39.705185487836104,17.163686880067743,12.42215788350863,14.09750853166296,1.1379438589138515,0.0,7.646540356225929,3.7494681179281946,4.077508883856585
2024-04-24,39.77307477712523,17.193033941151892,12.443397715530246,13.950629502581553,1.1398895543912406,0.0,7.659614673444867,3.7558790872414183,4.0844807485335535
2024-04-25,39.87003945957974,17.23735435489823,12.436309705765858,13.919898138250735,1.1392402503605765,0.0,7.652403502149846,3.7252586566665675,4.019495932328446
2024-04-26,39.998203987745306,17.23735435489823,12.436309705765858,13.862936125732706,1.1392402503605765,0.0,7.652403502149846,3.7252586566665675,3.94829341668091
2024-04-29,40.02668499400432,17.208873348639216,12.436309705765858,13.862936125732706,1.1392402503605765,0.0,7.652403502149846,3.7252586566665675,3.94829341668091
2024-04-30,7.424422473418277,3.2326971301227547,2.3067715270377382,2.571391923534743,0.21131405008100726,0.0,1.3930057268220712,0.6909863780623896,0.7323563862169988
2024-05-03,39.97463423686266,17.45306609920568,12.420137511232879,13.844908744208132,1.1406031776976977,0.0,7.500232458340891,3.723258722051702,3.943159050400353
2024-05-06,39.97463423686266,17.45306609920568,12.420137511232879,13.844908744208132,1.1406031776976977,0.0,7.50592125224462,3.717569928147973,3.943159050400353
2024-05-07,40.00023374294367,17.448103166059546,12.41660573568217,13.840971822401885,1.1402788371328363,0.0,7.503786877392471,3.707982040011162,3.942037778376258
2024-05-08,40.01047334055278,17.426970834411684,12.419784243268435,13.84451495124686,1.140570735338468,0.0,7.505707760121876,3.708931240565226,3.9430468944946755
2024-05-09,40.02583338199622,17.410400144927713,12.420137511232879,13.844908744208132,1.1406031776976977,0.0,7.50592125224462,3.7090367372923794,3.943159050400353
2024-05-10,40.30723726250351,17.327699024371267,12.389478194442903,13.81073235584423,1.1377875797121635,0.0,7.487392760328565,3.606247526340563,3.933425296456796
2024-05-13,40.457553252040626,17.3252411136288,12.387720763666614,13.66692467045083,1.1376261860781394,0.0,7.486330683761283,3.6057359849915045,3.9328673453822036
