date,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD
2024-06-03,6.945871742037982,0.0,0.0,1.5737711414869244,0.0,0.7653543273163474,52.98013229797396,0.7997258259742606,1.53506195005022,0.0
2024-06-04,6.397422273407298,0.0,1.9348087189051382,1.5940704929017107,0.0,0.7660707750133399,52.98315729936126,0.0,1.5426244535184739,0.0
2024-06-05,6.355390675183741,2.3618518265942696,1.9208777914636181,1.604976418955929,0.0,0.7748273579765809,52.985863879549896,0.0,1.5759790740784558,0.0
2024-06-06,6.3466713475007435,0.0,1.978941180592176,1.6283007717580165,0.0,0.0,52.989923749832855,0.0,1.5741481521861416,0.0
2024-06-07,6.34157660832213,0.0,1.9808436676488894,1.626629060465034,0.0,0.7753845950742416,52.990719802829524,0.0,1.576217889977453,0.0
2024-06-11,6.335447000247861,0.0,1.9542873396803697,1.6409580144048832,0.0,0.7746681473772493,52.99780467449978,0.0,1.5732724938898175,0.0
2024-06-12,6.338223235073707,0.0,1.9550037873773618,1.6458935429841643,0.5322926177999086,0.0,0.0,0.0,1.57398894158681,0.0
2024-06-13,6.296669268648144,2.363045906089257,1.9083854909976592,1.7082244926225076,0.5345215661905517,0.7755438056735733,53.001227702385414,0.0,1.5848948676410284,0.0
2024-06-14,6.226143351435703,2.3633643272879206,1.9000269345327472,1.7369620058018713,0.0,0.7950471040917012,52.99653098970513,0.8348317631268907,1.6044777713588223,0.0
2024-06-17,6.2236755871460625,0.0,1.8935086933855099,1.7557488565230068,0.0,0.7938530245967138,52.998361911597435,0.0,1.6063086932511361,0.0
2024-06-18,6.2258249302370405,0.0,1.8618482328130161,1.7742172860454788,0.5364320933825315,0.7939326298963797,52.997167832102456,0.0,1.6023004868076622,0.0
2024-06-19,6.223616838434909,0.0,1.850783096159466,1.7951534798575914,0.0,0.793773419297048,52.99839709713989,0.8285429444532902,1.609265950528422,0.0
2024-06-20,6.233010263795477,0.0,1.8495188047901734,1.803352825723172,0.0,0.7931365768997213,0.0,0.818910703193725,1.6099027929257486,0.0
2024-06-21,6.222741180138585,0.0,1.8511109107834898,1.7938797950629384,0.5367505145811949,0.7960819729873568,53.00309380982018,0.0,1.6066389756394497,0.0
2024-06-24,6.219908505155276,0.0,1.8435484073152364,1.8084475649017848,0.5372281463791898,0.8011767121659699,53.00779052250045,0.0,1.6103008194240778,0.0
2024-06-25,6.217918372663631,0.0,1.8168328687473847,1.8113929609894206,0.0,0.0,53.014875394170716,0.0,1.6090271346294247,0.0
2024-06-26,6.204196568344333,0.0,1.8167532634477186,1.8327836214573254,0.0,0.8003806591693117,53.013362893477066,0.0,1.614835455714242,0.0
2024-06-27,6.201473271042765,0.0,1.8123749719660982,1.8279276981777102,0.0,0.0,53.02219908173997,0.8107113573281447,1.6170644041048854,0.0
2024-06-28,6.20481669362873,0.0,1.8130914196630907,1.8336592797536495,0.0,0.7996642114723193,53.02426881953129,0.7991685888765997,1.6201690107918525,0.0
2024-07-02,6.183976344597415,0.0,1.788851605914846,1.8582573173503905,0.5396163053691646,0.8026892128596207,53.02761224211725,0.8003626683715872,1.6318709898427293,0.0
2024-07-03,6.147006528958409,2.399584738635872,1.791558186103484,1.8798303535598297,0.0,0.7957786767956301,53.03676685157882,0.7889791105193737,1.6604492924227614,0.0
2024-07-04,6.1636440365885665,0.0,1.7622475147665264,1.8733027189872318,0.0,0.79768920398761,53.04854843592936,0.0,1.6602568864134688,0.0
2024-07-05,6.162836759244655,2.396400526649239,1.7665462009484811,1.8740987719838902,0.0,0.8137694745201072,53.051255016118006,0.0,1.6550825419351902,0.0
2024-07-08,6.162040706247997,2.396241316049907,1.767103438046142,1.879193511162503,0.0,0.0,53.076887922610396,0.7908896377113537,1.6512614875512304,0.0
2024-07-09,6.15702557236905,2.4042018460164902,1.7718797560260915,1.9215435305847235,0.0,0.8167944759074086,53.084052399580315,0.0,1.6506246451539037,0.0
2024-07-10,6.157901230665374,2.442651205755085,1.8195932621185968,1.9064981289478822,0.5404919636654888,0.8179885554023961,53.08564450557364,0.0,1.6475200384669364,0.0
2024-07-11,6.165294493266538,2.44217357395709,1.8207077363139184,1.8996520731766209,0.0,0.8163964494090795,53.0666188389535,0.0,1.6498285921572455,0.0
