date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,HANG SENG SECURITIES LTD,ARISTO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-07-19,4.905463882355054,5.13529527947857,2.142100443502774,2.646652182500494,1.3394861113604941,0.870845528163324,1.0988813674968128,1.0988813674968128,0.001795557790027472,0.6104896486093404,19.849891368753703
2024-07-22,4.905463882355054,4.955739500475823,2.142100443502774,2.646652182500494,1.3394861113604941,0.8744366437433789,1.0988813674968128,1.0988813674968128,0.001795557790027472,0.6068985330292855,19.670335589750955
2024-07-23,4.905463882355054,4.955739500475823,2.142100443502774,2.646652182500494,1.3394861113604941,0.8816188749034887,1.0988813674968128,1.0988813674968128,0.001795557790027472,0.6068985330292855,19.677517820911067
2024-07-24,4.905463882355054,4.916237229095218,2.142100443502774,2.646652182500494,1.3394861113604941,0.8905966638536261,1.0988813674968128,1.0988813674968128,0.001795557790027472,0.6068985330292855,19.6469933384806
2024-07-25,4.905463882355054,4.916237229095218,2.142100443502774,2.643061066920439,1.3394861113604941,0.8941877794336811,1.0988813674968128,1.0988813674968128,0.001795557790027472,0.6068985330292855,19.6469933384806
2024-07-26,4.910850555725136,4.943170595945631,2.142100443502774,2.6376743935503564,1.3394861113604941,0.931894493024258,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.738566785772
2024-07-29,4.910850555725136,4.939579480365575,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8852099904835438,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.688291167651233
2024-07-30,4.910850555725136,4.935988364785521,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8852099904835438,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.684700052071175
2024-08-05,4.910850555725136,4.935988364785521,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8816188749034887,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.68110893649112
2024-08-06,4.910850555725136,4.935988364785521,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8726410859533514,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.672131147540984
2024-08-07,4.910850555725136,4.944966153735658,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8654588547932416,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.67392670533101
2024-08-09,4.910850555725136,5.110157470418185,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8744366437433789,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.848095810963677
2024-08-20,4.910850555725136,5.095793008097966,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8744366437433789,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.833731348643457
2024-08-21,4.910850555725136,5.110157470418185,2.142100443502774,2.6376743935503564,1.3394861113604941,0.8654588547932416,1.1078591564469502,1.0988813674968128,0.001795557790027472,0.6248541109295602,19.839118022013537
