date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,BLACK MARBLE SECURITIES LTD,SORRENTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SUNCORP SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD,TOTAL_CCASS_PCT
2024-11-01,1.40360421471369,0.0,0.0,0.0,0.6174163020097392,0.024588581137984167,0.4334571141588639,0.3435012702135534,0.06185754995541743,2.884425032189248
2024-11-04,1.40360421471369,0.0,0.0,0.0,0.6174163020097392,0.024588581137984167,0.4319971042223333,0.3435012702135534,0.06185754995541743,2.8829650222527174
2024-11-05,1.40360421471369,0.0,0.0,0.0,0.6199335605209988,0.024588581137984167,0.41563492389914564,0.3435012702135534,0.06185754995541743,2.8691201004407896
2024-11-06,1.40360421471369,0.0,0.0,0.0,0.6262267067991479,0.024588581137984167,0.41487974634576774,0.3435012702135534,0.06185754995541743,2.874658069165561
2024-11-07,1.40360421471369,0.0,0.0,0.0,0.6307577721194153,0.024588581137984167,0.41487974634576774,0.3435012702135534,0.06185754995541743,2.879189134485828
2024-11-08,1.40360421471369,0.0,0.0,0.0,0.6322681272261711,0.024588581137984167,0.41538319804801965,0.3435012702135534,0.06185754995541743,2.881202941294836
2024-11-11,1.40360421471369,0.0,0.0,0.0,0.6433440646757135,0.024588581137984167,0.4171352099718564,0.3435012702135534,0.06185754995541743,2.8940308906682146
2024-11-12,1.40360421471369,0.0,0.0,0.0,0.6418337095689577,0.024588581137984167,0.42544216305901317,0.3435012702135534,0.06185754995541743,2.900827488648616
2024-11-13,1.40360421471369,0.0,0.0,0.0,0.6473716782937289,0.024588581137984167,0.4166317582696044,0.3435012702135534,0.06185754995541743,2.8975550525839786
2024-11-14,1.40360421471369,0.0,0.0,0.0,0.6473716782937289,0.024588581137984167,0.41738693582298236,0.3435012702135534,0.06185754995541743,2.8983102301373562
2024-11-15,1.40360421471369,0.0,0.0,0.0,0.6476234041448549,0.024588581137984167,0.41864556507861217,0.3435012702135534,0.06185754995541743,2.899820585244112
2024-11-18,1.40360421471369,0.0,0.0,0.0,0.6527082663375994,0.024588581137984167,0.42065937188761987,0.3435012702135534,0.06185754995541743,2.906919254245864
2024-11-19,1.40360421471369,0.0,0.0,0.0,0.6529599921887252,0.024588581137984167,0.42065937188761987,0.3435012702135534,0.06185754995541743,2.90717098009699
2024-11-20,1.40360421471369,0.0,0.0,0.0,0.6529599921887252,0.024588581137984167,0.4204076460364939,0.3435012702135534,0.06185754995541743,2.906919254245864
2024-11-21,1.40360421471369,0.0,0.0,0.0,0.6537151697421032,0.024588581137984167,0.41965246848311605,0.3435012702135534,0.06185754995541743,2.906919254245864
