date,ORIENT SECURITIES (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,MIB SECURITIES (HONG KONG) LTD
2024-08-06,0.0,33.668907293843134,13.89247027264074,15.972315907182008,10.407320580029271,11.232455648781112,9.15015774084941,2.882393605220815,2.7939789514535094
2024-08-07,0.0,33.701901861739124,13.836954727932275,15.98796832075921,10.417519457067254,11.23054878218872,9.143171610594775,2.885218268661194,2.796716971057447
2024-08-08,0.0,33.70113381176323,13.833600788541506,15.987603962725835,10.424878551639459,11.231052493914289,9.139924640241688,2.8851525159380746,2.7966532352359197
2024-08-09,0.0,33.69627030807159,13.824009014899213,15.985296747445558,10.442362629897437,11.239305740773812,9.131769764817593,2.884736151610673,2.7962496424841214
2024-08-12,0.0,32.81682142598909,13.462472415176418,15.568091780077683,12.781233216448557,10.94522807297916,8.89343701648432,2.80944657325549,2.7232694995892803
2024-08-14,0.0,32.81245247659712,13.468076326280572,15.566019178217994,12.794324010790382,10.9348954927475,8.892253020760258,2.809072547698942,2.722906946907229
2024-08-15,0.0,32.813180554043385,13.463937358407568,15.566364573537037,12.797566446011082,10.934398492487162,8.892450331487808,2.8091348783756374,2.7229673656503186
2024-08-16,0.0,32.825077061084,13.468818745181851,15.572008200964158,12.765950968717588,10.938362788128558,8.895674313320432,2.810153337796345,2.7239545848070676
2024-08-19,0.0,32.86860914078843,13.471863177916893,15.592659543256543,12.833261123931472,10.834327512630052,8.85783233556445,2.8138801171380954,2.7275670487740644
2024-08-20,0.0,32.82410559431311,13.554246393089873,15.571547343294423,12.827723208213978,10.842594342977673,8.845838978883982,2.81007017057076,2.7238739686562012
2024-08-21,0.0,32.77939977814734,13.620840787055519,15.5664797087163,12.823548529085732,10.83462786340068,8.842960171884675,2.8091556558825665,2.7229875058271906
2024-08-22,0.0,32.67170817374544,13.726636202317799,15.536372412324242,12.798746365488853,10.919236555017298,8.825856907186429,2.803722437613203,2.7177209463067427
2024-08-23,0.0,32.665589734821246,13.720450180570348,15.552790569849284,12.784189887083922,10.91451773835356,8.835183685996178,2.8066852886195752,2.720592914705889
2024-08-26,0.0,32.66837068068196,13.685314652544772,15.574197647479556,12.818806396444927,10.871080040877052,8.847344555918166,2.8105484493550965,2.7243375766984697
2024-08-27,36.8371457129184,20.62068734519342,8.67789111412544,9.848476963349082,8.100934310376715,6.820138149877944,5.594693930179645,1.777274327986307,1.722758145993046
2024-08-28,36.842145395321694,20.590257102425085,8.671112680937835,9.84981363740512,8.114202153939097,6.836508253748708,5.595453264059977,1.7775155466532668,1.7229919655092156
2024-08-29,36.83990399056381,20.57917674398967,8.68649664060582,9.849214393823774,8.113708501598301,6.836092333829743,5.595112847522502,1.777407406050684,1.7228871420156906
2024-08-30,36.844042181618626,20.570255479144674,8.669218917409943,9.850320746622954,8.132873375712279,6.8368602255200415,5.595741341178247,1.7776070605185774,1.723080672274656
2024-09-02,37.09614412453707,20.64173324001254,8.726181043294615,9.327727958194833,8.165431039397165,6.884112047958432,5.634029682539551,1.78977017203314,1.7348706920326502
2024-09-03,37.10646089698911,20.640403323888826,8.725308274396678,9.330322083517299,8.104538174929255,6.931749590742832,5.635596557038089,1.7902679232696117,1.735353175228298
2024-09-04,37.145156135849575,20.588316888213498,8.711285895691507,9.34005189964471,8.0889247212048,6.955493332662062,5.641473451509409,1.7921348446423464,1.7371628305820956
2024-09-05,37.14603252736132,20.58880264269777,8.709132057547256,9.340272265987341,8.089115568833463,6.955657438455411,5.641606554717498,1.79217712772658,1.7372038166733554
