date,GET NICE SECURITIES LTD,CHONG HING BANK LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,PLANETREE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,IMAGI BROKERAGE LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD
2024-07-12,53.25483680904149,17.287141315070798,9.839530043802046,0.0,7.746142538831288,6.588556973479038,2.854925539678715,0.0,1.2426211387502228,1.1862456413463975
2024-07-15,53.2580448307837,17.286881453538115,9.839382135289501,0.0,7.746026098267992,6.5884579338239515,2.8523772790975968,0.0,1.2426024595812513,1.186227809617896
2024-07-16,53.26186139607515,17.28685979876304,9.839369809780845,0.0,7.746016395045734,6.588449680653763,2.848615693007567,0.0,1.2426009030091856,1.1862263236647197
2024-07-17,53.3275849398789,17.286643253996136,9.839246556392622,0.0,7.745919364160183,6.525734384676077,2.848580009671877,0.0,1.2425853375030136,1.183706153721187
2024-07-18,53.3328435178184,17.287901173357163,9.839962541477714,0.0,7.746483021418214,6.524956504705483,2.8413851929311855,0.0,1.2426757583054104,1.1837922899864324
2024-07-22,53.02789916303654,17.187841931408858,9.783010619851893,0.0,7.701647780221725,7.059621103888948,2.827555311042036,0.0,1.2354833760077142,1.176940714542281
2024-07-24,53.02852191093261,17.187841931408858,9.783010619851893,0.0,7.701647780221725,7.059621103888948,2.82693256314597,0.0,1.2354833760077142,1.176940714542281
2024-07-25,53.030393925227784,17.18715692239684,9.782620725037525,0.0,7.701340836618341,7.059339747794513,2.82681989779276,0.0,1.2354341367111148,1.1768938084211236
2024-07-26,53.035473578318005,17.18630073791076,9.781884323398467,0.0,7.700957191517752,7.05649731598926,2.8266790787292955,0.0,1.2353725931093311,1.1768351810271291
2024-07-31,10.969130418099237,3.5545621849002327,2.0231413754049914,0.0,1.5927529511992087,1.4594623298972123,0.5846288107792772,0.0,0.25550633441681436,0.24339931531116524
2024-08-01,53.03950896392674,17.184824020142067,9.781043823595052,0.0,7.700295493547136,7.0558909926663915,2.8264361988166486,0.0,1.2352664448062716,1.1767340624996956
2024-08-02,53.03974287805849,17.184738421096966,9.780995103398068,0.0,7.700257137731537,7.055855846683482,2.8264221201016513,0.0,1.2352602918408415,1.176728201088955
2024-08-05,53.043660593382,17.18330476384786,9.780179112244184,0.0,7.69961473461809,7.055267203514447,2.8261863224734176,0.0,1.2351572387812875,1.1766300311387135
2024-08-06,53.0495067139251,17.181165421806984,9.778961468221123,0.0,7.698656123354035,7.054388814290399,2.825834458888495,0.0,1.2350034602244653,1.1764835392893997
2024-08-07,53.05247718550905,17.18071622765633,9.77870580149636,0.0,7.698454845314181,7.054204380341128,2.8240176074553394,0.0,1.2349711715923062,1.176452780635303
2024-08-12,53.05496714438262,17.18071622765633,9.77870580149636,0.0,7.698454845314181,7.054204380341128,2.8215276485817657,0.0,1.2349711715923062,1.176452780635303
2024-08-13,53.051649050986185,17.17923860880011,9.777864788823182,0.0,7.697792743577997,7.053597687042087,2.8286405618467496,0.0,1.2348649585179585,1.1763516004057313
2024-08-14,53.05275947410889,17.178832285182857,9.77763352261398,0.0,7.697610675264979,7.05343085524051,2.8285736587964356,0.0,1.2348357514728623,1.1763237773194861
2024-08-16,53.0540043170281,17.178832285182857,9.77763352261398,0.0,7.697610675264979,7.05343085524051,2.8285736587964356,0.0,1.2348357514728623,1.17507893440027
2024-08-23,52.21897156960406,16.907616434622188,9.623266267128663,0.0,7.759860829733557,6.942072747947912,2.7815888627472227,1.3947558368966595,1.2153404200627467,1.1565270312569942
2024-08-27,52.22080935399912,16.907616434622188,9.623266267128663,0.0,7.759860829733557,6.940234963552845,2.7815888627472227,1.3947558368966595,1.2153404200627467,1.1565270312569942
2024-08-28,52.22078214520731,16.907409286802533,9.623148365316016,0.0,7.759765757890763,6.940762520850862,2.781554783427389,1.394738748702609,1.2153255300207868,1.1565128617817269
2024-08-30,52.224258848555124,16.90682929991007,9.622818255609586,0.0,7.759499569123943,6.940524426934905,2.779621666937288,1.394690903986784,1.2152838398442767,1.156473189098028
2024-09-02,52.230496120205,16.906786113192233,9.62279367513211,0.0,7.759479748298139,6.938056439238009,2.7759495920006594,1.3946873413955099,1.2152807355294848,1.15647023500886
2024-09-03,52.23244373788395,16.906226880658174,9.622475378132572,0.0,7.759223084879465,6.937459419695722,2.775857770804463,1.3946412087638596,1.2152405372019746,1.1564319819798243
2024-09-09,52.23617751952608,16.906206169052577,9.622463589759194,0.0,7.759213579153002,6.9374509207015755,2.7721791079254103,1.3946395002064824,1.2152390484261002,1.15643056524957
2024-09-10,52.2377536844876,16.9060819004847,9.622392860125485,0.0,7.759156545283326,6.936174848775403,2.7721587311049576,1.3946292489501293,1.215230115847456,1.1564220649409402
2024-09-12,52.242079644305406,16.90498427413838,9.621768126850199,0.0,7.758652782513249,6.935724518042267,2.770753750006324,1.394538702730372,1.2151512171055803,1.156346984308218
2024-09-16,52.254779651980265,16.903307045057076,9.620813502518452,0.0,7.757883007287934,6.935036389696631,2.762517146904522,1.3944003434849983,1.2150306558009105,1.156232257269215
2024-09-17,52.26160879247055,16.902623824917036,9.620424635799592,0.0,7.75756943894888,6.932306424629749,2.762405487845917,1.3943439827743156,1.2149815450906458,1.1537358675233096
2024-09-19,52.26220458151071,16.902499609007215,9.62010897237469,0.0,7.757512429246963,6.932255479713822,2.762385187168666,1.3943337358618706,1.214972616297128,1.15372738881894
2024-09-23,52.26256648468639,16.902458204109653,9.620085406651526,0.0,7.757493426199195,6.931993535079196,2.762378420342554,1.3943303202578572,1.214969640061785,1.1537245626118433
2024-09-24,52.26629939711332,16.902437501736937,9.62007362383324,0.0,7.757483924710224,6.931985044674306,2.7587005940067706,1.3943286124621255,1.2149681519495816,1.1537231495134872
2024-09-27,52.26758559068796,16.901982062367356,9.619814409133223,0.0,7.757274897841297,6.931798261028553,2.7586262602984357,1.3942910420144203,1.2149354144033473,1.1536920622254063
2024-09-30,10.993883564908579,3.5545621849002327,2.021338336615549,0.0,1.6313894966872546,1.45753050262281,0.5798938248566262,0.2932256225572772,0.25550633441681436,0.2426265844014043
2024-10-02,52.30109697245409,16.898484278207388,9.597251566841544,0.0,7.755669566989443,6.927914702916871,2.758055375818678,1.3940025001674847,1.2146839893437178,1.1528410472607868
2024-10-03,48.29810386123473,15.594528869733182,8.847987515879016,7.693803776122503,7.157210728213194,6.39219873974962,2.5448936540144036,1.2864356279205982,1.1209540588117597,1.0638831683209937
2024-10-04,48.30042392258672,15.59513202022284,8.848329730000858,7.694101349813486,7.157487548064013,6.390750848142103,2.545444115824752,1.2864853834653391,1.1209974140163386,1.0608476678635574
2024-10-07,48.30102434790306,15.595325884195788,8.848439724090884,7.694196995624885,7.157576523198728,6.3908302919293005,2.5443456623067355,1.286501375838296,1.1210113491989369,1.0607478457133843
