date,KGI ASIA LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-05-29,28.13044853728737,25.108799713936364,12.036573471536355,6.637632020217553,9.862800225868185,7.561424902871441,3.7040007906503267,1.3004957119198048,2.422624167698848,3.235200458013749
2024-05-30,28.113155598040247,25.100760555873862,12.03055452052197,6.634312837887492,9.85786828144359,7.607326675701794,3.6692417282814507,1.2998453922916338,2.4214127219143706,3.2655216880435907
2024-05-31,28.115121084097588,25.10340204927558,12.002729435782516,6.672977623680927,9.8415047515068,7.611524943773812,3.6366630609964026,1.2985801842200266,2.486416999519193,3.231079867147149
2024-06-03,28.08913842310214,25.085998754867045,11.991637082702576,6.72573757492909,9.832087695366937,7.604490733546478,3.660350597010762,1.2973800980243786,2.484119170895279,3.2290598695553197
2024-06-04,28.09928292848209,25.100925580599608,11.99569288156735,6.738642085136943,9.783874968482422,7.6070627163934885,3.661588596934679,1.2978188965547592,2.4849593470650375,3.230151998783623
2024-06-05,28.108659214256203,25.109013527371935,11.967336391308688,6.740813390666191,9.787027500038207,7.609513841876748,3.6627684232952284,1.2982370759610027,2.4857600433925864,3.2308705918332077
2024-06-06,28.10857908327591,25.108688508595407,11.967027912852078,6.740639634732284,9.786775222752828,7.610606528780281,3.6626740092073153,1.2982036116915603,2.4856959686982174,3.2311095194141206
2024-06-07,28.09590696283994,25.10456316431532,11.965061736477196,6.739532151195192,9.785167260745101,7.657679484440625,3.662072233799232,1.306366369068025,2.4852875701614723,3.1983630669578953
2024-06-11,28.114665881466472,25.12042639204801,11.972775935583025,6.743877309961564,9.791153659357818,7.662616597640091,3.664433270873143,1.3072086188196854,2.42241719606737,3.20042513818282
2024-06-12,28.227690396273005,25.22083531959946,12.020632352219575,6.770833281077013,9.830289907408876,7.6932448641670685,3.6810222997978785,1.312433666096082,2.4320998467096495,2.810918066651395
2024-06-13,28.227479330330606,25.226142239845057,12.023161710838611,6.754129658344746,9.832358378332566,7.694863662133379,3.681796853515857,1.3127098258943342,2.4326116045381383,2.814746736226704
2024-06-14,28.181220762777663,25.18091040670457,11.986061803699375,6.756907264617149,9.7506009955728,7.6814606530050895,3.678615416952392,1.5101339212356364,2.4642448000444093,2.8098439753909115
