date,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,CHINA SYSTEM SECURITIES LTD
2024-06-26,0.0,20.311754023551153,18.090786585046615,22.111741662478725,14.521897568538014,11.123261061906904,2.023256120731256,11.817302977747335,0.0,0.0
2024-06-27,0.0,20.311124703376954,18.090226077226763,22.111056573190098,14.521447635799714,11.126014734719488,2.0231934340773674,11.816936841609616,0.0,0.0
2024-07-04,0.0,20.283064550582576,18.079023210135407,22.17477336442642,14.512454832329846,11.119124645905925,2.021940516228507,11.809618880391312,0.0,0.0
2024-07-05,0.0,20.28337857650103,18.079303112704082,22.17511667810838,14.512679516669156,11.119296794119554,2.020423602941523,11.809801718956274,0.0,0.0
2024-07-09,0.0,20.27720716606677,18.080702755562516,22.176833405987765,14.513803042731837,11.120157615150745,2.020580017790549,11.810715996709813,0.0,0.0
2024-07-10,0.0,19.811561022894498,17.66549717843248,21.66756421232122,14.180507813548607,10.864794119450604,1.9726666014708423,11.539494506149989,2.297914545731756,0.0
2024-07-11,0.0,19.781222659614166,17.67218071383688,21.6757618832431,14.185872843757883,10.868904687946095,1.9734129369370246,11.543860339689894,2.298783934974954,0.0
2024-07-12,0.0,19.749646400138086,17.679136957527312,21.684294043720477,14.19145678328751,10.87318297996233,1.9741897251282206,11.548404312329804,2.2996887979062626,0.0
2024-07-16,0.0,19.71325193019798,17.677872271386438,21.72207700087213,14.191413813129019,10.873150057169196,1.9741837475005057,11.548369345041303,2.299681834703427,0.0
2024-07-18,0.0,19.713848843694727,17.67840755397654,21.722734741207674,14.191843526424064,10.873479294072588,1.971215544539475,11.548719027455542,2.2997514686293874,0.0
2024-07-23,0.0,19.718625453342725,17.682690981974446,21.727998098209568,14.195282169849236,10.876113907258231,1.9474634481668178,11.551517249312976,2.3003086918860003,0.0
2024-07-25,0.0,19.714744281722023,17.679210538645414,21.72372142640032,14.192488145162486,10.873973186813988,1.9667629030453038,11.549243590784894,2.2998559274255705,0.0
2024-07-30,0.0,19.7153412855998,17.679745902284765,21.72437926632692,14.192917923522113,10.874302473568438,1.963794250656957,11.549593326145926,2.2999255718950793,0.0
2024-08-06,0.0,19.701619337781203,17.743093297515173,21.709259020911663,14.183039602050581,10.866733920280705,1.956375237945273,11.541554768017436,2.298324815497966,0.0
2024-08-08,0.0,19.743141953180007,17.78048817487761,21.755012884970423,14.212931403759113,10.889636363246275,1.749741069783654,11.56587944567566,2.3031687045072533,0.0
2024-08-09,0.0,19.71235662772683,17.75276319997351,21.721090465049105,14.38000377121609,10.872656239195894,1.7364155815034379,11.525136723614361,2.299577391720769,0.0
2024-08-13,0.0,19.71713251419521,17.757064318462,21.726353025177744,14.383487741535989,10.875290453500597,1.7126083963950396,11.52792902011975,2.300134530613674,0.0
2024-08-15,0.0,19.711352167291217,17.758677775261297,21.728327142711123,14.455970535189005,10.877792993176332,1.6385593788969497,11.52897648016865,2.3003435273054222,0.0
2024-08-16,0.0,19.640716758892395,17.761905568639108,21.732276454216727,14.517669595649322,10.878255470740488,1.6373425457909312,11.53107197142124,2.300761634649791,0.0
2024-08-19,0.0,19.64518011077238,17.7659419607721,21.737215112930613,14.522483734982593,10.880727553740428,1.6134746372505646,11.533692406937604,2.3012844826137164,0.0
2024-08-20,0.0,19.620825226291537,17.77132667154296,21.743803483905005,14.526885380263213,10.884025412699035,1.6139636681320624,11.537188174168442,2.301981982997749,0.0
2024-08-21,0.0,19.617852221527933,17.768633908203974,21.7405087992732,14.538321287096911,10.882376233369119,1.6152343448581845,11.53544002570859,2.3016331799620846,0.0
2024-09-02,0.0,19.634512662381805,17.78372390230419,21.758971904046,14.550667941520807,10.891618080210367,1.5316811836553148,11.545236486304864,2.303587839576657,0.0
