date,YUE XIU SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HSBC BROKING SECURITIES (HONG KONG) LTD,HANG SENG BANK LTD
2024-05-30,34.49234204168957,24.151562693913863,12.413082196390118,7.9493318283180905,5.702185915260129,5.3051569435244845,3.634805515974362,1.5695505488688266,2.438097079486567,2.3438852365739917
2024-05-31,34.495983439326864,24.139478483813352,12.42050608264442,7.937662831557855,5.69757385003408,5.305944957931528,3.6356801440542963,1.5833153989940958,2.4397221283130084,2.344132683330499
2024-06-03,34.49257449050794,24.134248629327576,12.416055786171867,7.94900377051256,5.690036450197285,5.308839418026609,3.6367116289823462,1.5891477628921131,2.439481031030409,2.3439010323512974
2024-06-04,34.49833425849136,24.1440283794428,12.428771397318389,7.967955978995697,5.651268589878826,5.29951947016836,3.637272929519549,1.5884575255947146,2.439754413325447,2.3446370572648556
2024-06-05,34.49843196343101,24.135522761253668,12.444262225279394,7.965702601801679,5.647135329073973,5.299899213852145,3.636325802611895,1.5904578975565737,2.437618507478187,2.3446436976614744
2024-06-06,34.50568067466967,24.134574662826864,12.440269334755545,7.962069606003079,5.681036471192011,5.2987874650250815,3.6372677023904454,1.5580046722594116,2.4378570844541247,2.3444523264237667
2024-06-07,34.49825046724654,24.169595150788396,12.436033531558818,7.960358287736638,5.659337592153225,5.2999281562547536,3.633806968010193,1.5613627239420482,2.4373331064476464,2.343994015861738
2024-06-11,34.28413455233787,24.63325338445371,12.356133259994303,7.911843325035339,5.631408189934346,5.266218209099893,3.6112092580419564,1.5541019139607453,2.422205620243101,2.3294922868987333
2024-06-12,34.31166565857817,24.65164047956957,12.38151822673353,7.914867477104881,5.64020118653462,5.269225170150181,3.6141091587405536,1.5519490244308263,2.4241507182056865,2.240672899951984
2024-06-13,34.297063363985316,24.630172524471476,12.376467483946128,7.912169993876758,5.6816119549477255,5.267028028861637,3.613926311910079,1.5560024236314598,2.4231190526702107,2.2424388616992137
2024-06-14,34.30897100649688,24.512163525591987,12.391000274225124,7.916730688802002,5.768391763960362,5.268040549045127,3.615198537538554,1.551872484229335,2.423960338559208,2.2436708315514142
2024-06-17,34.30671242797006,24.596095591084076,12.39870711220846,7.913551784888136,5.683754061360138,5.267693751023692,3.6149987220127877,1.5511809234858727,2.4237824965064734,2.243523129460306
2024-06-18,34.301216771352536,24.631127506466125,12.390147189611596,7.906326942826588,5.6635310702970765,5.2758198673773045,3.614430916057143,1.5508417744881573,2.423394226241746,2.2431637352817226
