date,CMB INTERNATIONAL SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-05-31,39.65208354464716,23.89547709180615,10.527245346015395,4.667721032578919,2.8927037232534527,1.3249647110897687,1.4291437037249788,1.382099818813727,1.324532959646011
2024-06-03,45.51575778510373,27.429094520228993,12.083994243936292,5.353000943627514,3.320755428588434,1.5234558825205178,1.640482739970254,1.6130560967950753,1.520402359229188
2024-06-04,45.51633992208421,27.42944533258581,12.08414879568416,5.353069407385066,3.3207979003527677,1.5207753004386935,1.640503721399878,1.6144978152134455,1.5204218048559681
2024-06-05,45.50780340514837,27.42430098387449,12.08188243285652,5.363574099858724,3.320601336378643,1.518074685337423,1.640196047544181,1.6234303568295059,1.5201366521721411
2024-06-06,45.50424746805863,27.42215807470877,12.08093836589125,5.3659964156582065,3.3207680807712405,1.5277589649598924,1.640067884162882,1.6180468756697037,1.5200178701194278
2024-06-07,45.508449998875136,27.42469063970602,12.08205409724821,5.369759925910792,3.321358937575621,1.5175279181977115,1.6402193521292339,1.6157808794537116,1.5201582509035578
2024-06-11,45.50482931064538,27.42250870965553,12.081092839480426,5.369332703569428,3.319105667887054,1.5188279108691765,1.6400888549819428,1.6241766969987501,1.5200373059123187
2024-06-12,45.46942867052384,27.401175273693536,12.071694311316179,5.375802786011459,3.316523558096638,1.5285774315238883,1.6416521884183515,1.6762909928090535,1.5188547876070513
2024-06-13,45.461425947136654,27.396352604207447,12.069569665522009,5.384650308021832,3.315939842368982,1.5332762048601531,1.641363253880443,1.6788347083100896,1.5185874656923952
2024-06-14,45.45614077365187,27.39316760784301,12.071714523646579,5.379754798279272,3.315554343740927,1.5338075560975417,1.641172435194764,1.6902770410904222,1.5184109204556193
2024-06-17,45.46078609292659,27.395967009801005,12.074651397604546,5.376188449353968,3.315893171636064,1.5162223849558087,1.6413401522472153,1.7003852493878968,1.5185660920869037
2024-06-18,45.437762364030625,27.382092253742297,12.068536160183806,5.419145694922489,3.3142138292402747,1.5204197109498239,1.6405088914191654,1.699524085022622,1.5177970104889007
2024-06-19,45.43698886229184,27.38162611952115,12.06833071358567,5.419053443050925,3.314157410305313,1.5213868555710857,1.6404809645052068,1.700204458629791,1.5177711725390182
2024-06-20,45.43479741703948,27.380305492075017,12.0677486528746,5.397797659808745,3.313997567087173,1.5286898962736635,1.6404018434122105,1.7185635016377492,1.517697969791356
2024-06-21,45.43363732571849,27.37960638793957,12.069284583189557,5.397659837290023,3.3139129504489584,1.528792714645654,1.6403599588644704,1.7190870236491278,1.5176592182541482
2024-06-24,45.429641909026124,27.37719863582392,12.068223214918666,5.399454578634344,3.3136215262113535,1.5286582731989462,1.64021570623697,1.725460400066823,1.5175257558828554
2024-06-25,45.431188438576385,27.37813061866407,12.068634045007496,5.391695184895227,3.313734329513191,1.5332492857286928,1.6402715429539656,1.7255191387093558,1.517577415951615
2024-06-26,45.42835321482946,27.376422031925657,12.068164546015666,5.387812853689846,3.3135275293262505,1.5426564829048388,1.640169178543308,1.7254114542527967,1.5174827085121803
2024-06-27,45.429770782467095,27.377276298637092,12.068541126681605,5.388690170005067,3.313630926193176,1.5394423352902602,1.6402203591515234,1.72489794081993,1.51753006075425
2024-06-28,45.42957747257983,27.37715980458256,12.068489773388722,5.388383564608054,3.313616826240441,1.5419888668034685,1.6402133797895926,1.7230467085510177,1.517523603456317
2024-07-02,45.436666577673144,27.381431901612924,12.070373013275177,5.383833719509422,3.314133902982667,1.5359876469425149,1.6404693285716785,1.7275713838936269,1.5095325255388476
2024-07-03,45.43802020379594,27.38224763534282,12.070732607705255,5.383994111952628,3.3142326359788,1.5358915420561823,1.6405182006017827,1.724785565800456,1.5095774967661335
2024-07-04,45.43660212129804,27.381393058361898,12.070355890265299,5.383826082012398,3.3141292015581545,1.5372622064065542,1.640467001404781,1.7264340545742118,1.5095303841186678
