date,WELL LINK SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,WELL LINK INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-08-06,80.2969846141691,8.998554800706248,5.1647055337855114,2.2338369766913604,1.4779878699825413,1.4419950553773593,0.38593514928788
2024-08-07,80.29515190047599,9.000631835049573,5.164587653561266,2.2337859911701106,1.4779541361054775,1.4419621430071619,0.3859263406304173
2024-08-08,80.29585678045723,8.999130697950127,5.164632991472237,2.2338056007105407,1.4786693994485713,1.441974801433284,0.38592972852800894
2024-08-23,80.29642069335281,8.998491604405753,5.164669262374144,2.233821288590775,1.4786797840534076,1.4419849283342006,0.3859324388889096
2024-08-26,80.29557482697966,8.999450241356115,5.164614856212327,2.2337977568530545,1.4786642072008507,1.4419697380361656,0.3859283733618345
2024-08-27,80.29670265277086,8.998874350622772,5.164687398016145,2.2338291326135233,1.4779826800550688,1.4419899918379995,0.38593379408363604
2024-08-28,80.29416508929306,8.999994513483117,5.164524181823169,2.2337585383919016,1.4796916577510766,1.4419444215839574,0.38592159767371687
2024-08-30,80.29543385098341,8.998556584330304,5.1646057886301335,2.233793834944968,1.479715038977929,1.441967206350941,0.38592769578231617
2024-09-02,80.29557482697966,8.99839681161933,5.164614856212327,2.2337977568530545,1.479717636937636,1.4419697380361656,0.3859283733618345
2024-09-03,80.29613873591495,8.997757715165083,5.164651126859508,2.233813444623114,1.4797280288676888,1.441979864865962,0.3859310837037006
2024-09-09,80.29670265277086,8.997118609734136,5.164687398016145,2.2338291326135233,1.4797384209437063,1.4419899918379995,0.38593379408363604
2024-09-10,80.30008632024878,8.997497744326578,5.164905035655113,2.2339232651835736,1.479800776465233,1.4378368009579727,0.38595005716274805
2024-09-12,80.29881741152643,8.997179986397038,5.164823419391045,2.233887964540123,1.4815331796580649,1.437814080139831,0.3859439583474619
2024-09-13,80.30022731258234,8.997337960498925,5.164914104288124,2.233927187546159,1.4798033747260102,1.4378393255376478,0.3859507348207892
2024-09-26,80.30220125724045,8.997559133561552,5.165041068494166,2.2339821020686457,1.4773815457679467,1.4378746705839929,0.3859602222832384
2024-09-27,80.30121427278064,8.998677633347782,5.164977585610895,2.2339546444699288,1.477363387453429,1.4378569978436095,0.38595547849370915
2024-10-02,80.28035227911298,8.997568574600173,5.163635741273167,2.2333742703365007,1.4968154054200533,1.4374834472833138,0.3907702819738145
2024-10-03,80.31193140248621,8.961771808297318,5.165666911858482,2.234252791663566,1.4974041935483164,1.438048896560005,0.3909239955861083
2024-10-04,80.3045983205126,8.93672192453391,5.23964598149311,2.234048787618527,1.4658366170745472,1.4254506058230922,0.3936977629442105
2024-10-08,80.29783051024522,8.900326726021785,5.311893094947192,2.2338605092554085,1.4369185261138302,1.42533047348388,0.39384015993268395
2024-10-09,80.29642069335281,8.842231214022526,5.311799832195653,2.233821288590775,1.4390001793044087,1.4223206994320419,0.4544060931017841
2024-10-10,80.33305675213458,8.846265571964283,5.314223394905036,2.2348404922779395,1.4220913798225416,1.4141869687439825,0.4353354401516418
2024-10-21,80.33333896890548,8.846296649637726,5.314242064217857,2.234848343460164,1.4220963757489182,1.4141919369014995,0.43498566112836307
2024-10-22,80.33686684585646,8.842293591216729,5.314475441696385,2.2349464878926124,1.4221588277905046,1.4142540418158787,0.43500476373143665
2024-11-01,80.33333896890548,8.841905294722492,5.314242064217857,2.234848343460164,1.4220963757489182,1.418583291816732,0.43498566112836307
2024-11-05,80.33616124567793,8.84221592918955,5.314428764560873,2.2349268583165194,1.4221463369433736,1.414241620396628,0.4358792449151264
2024-11-06,80.33658460429768,8.841735542361928,5.314456770743788,2.2349386360207975,1.4221538314253224,1.4142490732219948,0.43588154192848433
2024-11-08,80.34434696984636,8.842589857786248,5.3149702697473895,2.2351545826005172,1.4082369829541574,1.4187776789343531,0.43592365813097206
2024-11-11,80.33898372076223,8.841999585866134,5.314615478022688,2.235005378689848,1.4192099704814338,1.4142913073828474,0.4358945587948222
2024-11-12,80.34505271382484,8.84266753101133,5.3150169563956124,2.23517421617708,1.4193171808924492,1.4068439144184592,0.4359274872802328
2024-11-13,80.34491156403728,8.842651996257148,5.315007619000353,2.2351702894341736,1.41931468744311,1.407017122382952,0.435926721444999
2024-11-14,80.34759349481014,8.842947165920553,5.315185035120602,2.2352448999087535,1.419362064478725,1.4037260669866336,0.435941272774588
2024-11-19,80.35140496760758,8.8433666514472,5.315437173141089,2.235350933888877,1.4146856653048208,1.4037926559594536,0.43596195265098736
2024-11-26,80.35211083558681,8.842565862106905,5.315483867992258,2.235370570915102,1.4146980929818755,1.403804987944012,0.4359657824730379
2024-11-28,80.33623180513803,8.84081841115497,5.314433432237527,2.2349288212586123,1.4144185230507227,1.4035275706874408,0.4556414364727016
2024-11-29,80.3595231981944,8.84338157564411,5.31597421346613,2.2355767805225613,1.4139500395240943,1.3758206548370397,0.4557735378116764
2024-12-02,80.36446553306774,8.843925468283341,5.316301160711403,2.2357142747316447,1.414037001396333,1.3697549926537114,0.4558015691558237
2024-12-03,80.36374179604101,8.843845822680267,5.316253283780103,2.2356941405941115,1.4140242670251368,1.369742657072318,0.45669803280704985
2024-12-04,80.36713111599634,8.844218809582804,5.3164774953827445,2.2357884304143143,1.41408390313165,1.3655829515640678,0.4567172939280674
2024-12-27,80.36727234386532,8.844058622992303,5.316486837943275,2.2357923593294204,1.4140863880785857,1.36558535128106,0.45671809651003414
2025-01-02,80.36374179604101,8.843670102005852,5.316253283780103,2.2356941405941115,1.4140242670251368,1.3699183777467336,0.45669803280704985
2025-01-08,80.36388301199823,8.843509921206712,5.316262625552643,2.2356980691778365,1.4140267517624814,1.3699207849807762,0.4566988353213234
2025-01-23,80.36741357223065,8.843898435838815,5.316496180536641,2.235796288258335,1.4140888730342547,1.3655877510064862,0.4567188990948215
2025-01-24,80.36811972150271,8.843976142861662,5.316542893996001,2.235815933110039,1.4141012979436045,1.3655997497601282,0.4558442608258619
