date,EMPEROR SECURITIES LTD,ASIA PACIFIC SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,STOCKWELL SECURITIES LTD,GET NICE SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-05-03,0.0,0.0,3.56,2.6304000000000003,2.98404,1.9751999999999998,0.9328,0.0,1.1328,0.5084,13.723640000000001
2024-05-06,0.0,0.0,3.5367999999999995,2.6304000000000003,2.98404,1.9751999999999998,0.9328,0.0,1.1328,0.5084,13.70044
2024-05-07,0.0,0.0,3.5176,2.6336,2.98324,1.9751999999999998,0.9328,0.0,1.1328,0.5084,13.68364
2024-05-08,0.0,0.0,3.5223999999999998,2.6272,2.9936399999999996,1.9831999999999999,0.9328,0.0,1.1328,0.5084,13.70044
2024-05-09,0.0,0.0,3.58,2.6272,2.9274,1.9928000000000001,0.9328,0.0,1.1328,0.5084,13.7014
2024-05-10,0.0,0.0,3.58,2.6272,2.9090000000000003,1.9928000000000001,0.9328,0.0,1.1328,0.5084,13.683
2024-05-14,0.0,0.0,3.6024000000000003,2.6224000000000003,2.9097999999999997,1.9928000000000001,0.9328,0.0,1.1328,0.5084,13.7014
2024-05-16,0.0,0.0,3.6128,2.6264,2.9394,1.9928000000000001,0.9391999999999999,0.0,1.1328,0.5164,13.7598
2024-05-17,0.0,0.0,3.6144000000000003,2.6288,2.9417999999999997,2.0048,0.9391999999999999,0.0,1.1328,0.5164,13.778199999999998
2024-05-20,0.0,0.0,3.6144000000000003,2.6288,2.9362,2.0048,0.9391999999999999,0.0,1.1328,0.5164,13.772599999999999
2024-05-21,0.0,0.0,3.6415999999999995,2.6288,2.941,2.0048,0.9391999999999999,0.0,1.1328,0.5164,13.8046
2024-05-22,0.0,0.0,3.56,2.5919999999999996,2.9218,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.919
2024-05-23,0.0,0.0,3.5576000000000003,2.5888,2.9082,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.8998
2024-05-24,0.0,0.0,3.56,2.5888,2.9082,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.9022
2024-05-27,0.0,0.0,3.56,2.5768,2.9026,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.884599999999999
2024-05-28,0.0,0.0,3.56,2.5816,2.9026,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.889399999999998
2024-05-29,0.0,0.0,3.56,2.5736,2.8562,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.835
2024-05-30,0.0,0.0,3.5591999999999997,2.5736,2.8746,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.8526
2024-05-31,0.0,0.0,3.5591999999999997,2.5736,2.8674,2.0383999999999998,0.9551999999999999,0.0,1.3352,0.5164,13.8454
2024-06-03,0.0,0.0,3.5576000000000003,2.5711999999999997,2.8754,2.0664,0.9551999999999999,0.0,1.3352,0.5164,13.877400000000002
2024-06-04,0.0,0.0,3.5512,2.568,2.8786,2.0664,0.9551999999999999,0.0,1.1328,0.5164,13.6686
2024-06-05,0.0,0.0,3.5496,2.56,2.8834,2.0544,0.9551999999999999,0.0,1.1328,0.5164,13.6518
2024-06-06,0.0,0.0,3.5696,2.56,2.8850000000000002,2.0448,0.9551999999999999,0.0,1.1328,0.5164,13.6638
2024-06-07,0.0,0.0,3.5896,2.56,2.8818,1.9879999999999998,0.9551999999999999,0.0,1.1328,0.5164,13.6238
2024-06-11,0.0,0.0,3.5824000000000003,2.56,2.8818,1.9879999999999998,0.9551999999999999,0.0,1.1328,0.5164,13.616600000000002
2024-06-13,0.0,0.0,3.5824000000000003,2.56,2.881,1.9784,0.9551999999999999,0.0,1.1328,0.5164,13.6062
2024-06-14,0.0,0.0,3.5832,2.56,2.881,1.9736,0.9551999999999999,0.0,1.1328,0.5164,13.6022
2024-06-17,0.0,0.0,3.4335999999999998,2.56,2.8634,1.9736,0.9551999999999999,0.0,1.1328,0.5164,13.435
2024-06-19,0.0,0.0,3.4264,2.5496000000000003,2.8602,1.9616000000000002,0.9551999999999999,0.0,1.1328,0.5164,13.4022
2024-06-20,0.0,0.0,3.42,2.5551999999999997,2.8602,1.9616000000000002,0.9551999999999999,0.0,1.1328,0.5164,13.401399999999999
2024-06-21,0.0,0.0,3.42,2.5551999999999997,2.8514,1.9616000000000002,0.9551999999999999,0.0,1.1328,0.5164,13.392599999999998
2024-06-24,0.0,0.0,3.4152,2.5536,2.8449999999999998,1.9616000000000002,0.9551999999999999,0.0,1.1328,0.5164,13.3798
2024-06-25,0.0,0.0,3.4128,2.5536,2.8466,1.9616000000000002,0.9551999999999999,0.0,1.1328,0.5164,13.379
2024-06-26,0.0,0.0,3.4128,2.5568,2.8482,1.9576,0.9551999999999999,0.0,1.1328,0.5164,13.3798
2024-06-27,0.0,0.0,3.4128,2.5568,2.8466,1.9576,0.9551999999999999,0.0,1.1328,0.5164,13.378200000000001
2024-06-28,0.0,0.0,3.4128,2.5568,2.8034,1.9576,0.9344,0.0,1.1328,0.5164,13.314200000000001
2024-07-02,0.0,0.0,3.4128,2.5568,2.7938,1.9576,0.9344,0.0,1.1328,0.5164,13.3046
2024-07-03,0.0,0.0,3.4104,2.556,2.7938,1.9576,0.9344,0.0,1.1328,0.5164,13.3014
2024-07-04,0.0,0.0,3.4104,2.5496000000000003,2.7938,1.9576,0.9344,0.0,1.1328,0.5164,13.295000000000002
2024-07-05,0.0,0.0,3.4104,2.5496000000000003,2.8226,1.9576,0.9344,0.0,1.1328,0.5164,13.3238
2024-07-08,0.0,0.0,3.3175999999999997,2.5496000000000003,2.8194,1.9608,0.9344,0.0,1.1328,0.5164,13.231000000000002
2024-07-09,0.0,0.0,3.34,2.5376,2.8146,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.2374
2024-07-10,0.0,0.0,3.34,2.5343999999999998,2.7882000000000002,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.2078
2024-07-11,0.0,0.0,3.34,2.5343999999999998,2.781,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.200600000000001
2024-07-12,0.0,0.0,3.34,2.532,2.7818,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.199
2024-07-15,0.0,0.0,3.34,2.532,2.7786,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.195799999999998
2024-07-16,0.0,0.0,3.3304,2.532,2.777,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.1846
2024-07-17,0.0,0.0,3.3304,2.532,2.7762,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.183800000000002
2024-07-22,0.0,0.0,3.3304,2.532,2.777,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.1846
2024-07-24,0.0,0.0,3.3304,2.5352,2.7746,1.9608,0.9351999999999999,0.0,1.1328,0.5164,13.1854
2024-07-25,0.0,0.0,3.32,2.5352,2.7898,1.9624,0.9351999999999999,0.0,1.1328,0.5164,13.1918
2024-07-26,0.0,0.0,3.32,2.5352,2.7914000000000003,1.9624,0.9431999999999999,0.0,1.1328,0.5164,13.2014
2024-07-29,0.0,0.0,3.3175999999999997,2.5352,2.8026,1.9624,0.9431999999999999,0.0,1.1328,0.5164,13.2102
2024-07-31,0.0,0.0,3.3256,2.5352,2.8042000000000002,1.9624,0.9431999999999999,0.0,1.1328,0.5164,13.219800000000001
2024-08-01,0.0,0.0,3.3127999999999997,2.532,2.8274,1.9624,0.9431999999999999,0.0,1.1328,0.5164,13.227
2024-08-02,0.0,0.0,3.6159999999999997,2.5304,2.8257999999999996,1.9624,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5262
2024-08-05,0.0,0.0,3.6255999999999995,2.5376,2.8274,1.9624,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5446
2024-08-06,0.0,0.0,3.6512000000000002,2.5336000000000003,2.8402,1.9624,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.578999999999999
2024-08-07,0.0,0.0,3.6512000000000002,2.5296,2.8402,1.9608,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5734
2024-08-09,0.0,0.0,3.6488,2.5248,2.8394,1.9608,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5654
2024-08-12,0.0,0.0,3.6488,2.5248,2.8378,1.9608,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5638
2024-08-13,0.0,0.0,3.6479999999999997,2.5248,2.8386,1.9608,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5638
2024-08-14,0.0,0.0,3.6479999999999997,2.5248,2.8386,1.9688,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5718
2024-08-15,0.0,0.0,3.6479999999999997,2.5248,2.8369999999999997,1.9688,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.5702
2024-08-16,0.0,0.0,3.6479999999999997,2.5248,2.8362,2.0168,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.617399999999998
2024-08-19,0.0,0.0,3.6479999999999997,2.5248,2.8346,2.0328,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.6318
2024-08-20,0.0,0.0,3.6479999999999997,2.5248,2.8362,2.0264,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.627
2024-08-21,0.0,0.0,3.6456000000000004,2.5248,2.8354,2.0344,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.6318
2024-08-22,0.0,0.0,3.6456000000000004,2.524,2.8346,2.0344,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.6302
2024-08-26,0.0,0.0,3.6448,2.524,2.8354,2.0344,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.6302
2024-08-27,0.0,0.0,3.6479999999999997,2.524,2.8346,2.0344,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.6326
2024-08-28,0.0,0.0,3.6608,2.5232,2.833,2.0344,0.9431999999999999,0.0,1.1320000000000001,0.5164,13.642999999999999
2024-08-29,0.0,0.0,3.6608,2.5232,2.8337999999999997,2.0344,0.9416000000000001,0.0,1.1320000000000001,0.5164,13.642199999999999
2024-09-02,0.0,0.0,3.6536,2.5232,2.8354,2.0344,0.9416000000000001,0.0,1.1320000000000001,0.5164,13.636599999999998
2024-09-03,0.0,0.0,3.6536,2.5232,2.8346,2.0344,0.9416000000000001,0.0,1.1320000000000001,0.5164,13.635800000000001
2024-09-04,0.0,0.0,3.6527999999999996,2.5232,2.8346,2.0344,0.9416000000000001,0.0,1.1320000000000001,0.5164,13.635
2024-09-05,0.0,0.0,3.6216,2.5232,2.8442,2.0344,0.9424,0.0,1.1320000000000001,0.5164,13.614200000000002
2024-09-09,0.0,0.0,3.6207999999999996,2.5232,2.8418,2.0344,0.9424,0.0,1.1320000000000001,0.5164,13.611
2024-09-10,0.0,0.0,3.624,2.5312,2.869,2.0344,0.9575999999999999,0.0,1.1320000000000001,0.5164,13.664599999999998
2024-09-11,0.0,0.0,3.6008,2.5216,2.8858,2.0368,0.98,0.0,1.1320000000000001,0.5164,13.673399999999999
2024-09-13,0.0,0.0,3.5999999999999996,2.5216,2.8858,2.0368,0.98,0.0,1.1320000000000001,0.5164,13.6726
2024-09-16,0.0,6.0,3.5999999999999996,2.5208,2.8842,2.0368,0.98,0.0,1.1320000000000001,0.5164,19.670199999999998
2024-09-17,0.0,6.0,3.5984000000000003,2.5208,2.8786,2.0368,0.9792000000000001,0.0,1.1320000000000001,0.5164,19.6622
2024-09-19,0.0,6.0,3.5984000000000003,2.5208,2.8786,2.0288,0.9792000000000001,0.0,1.1320000000000001,0.5164,19.6542
2024-09-20,0.0,6.0,3.5984000000000003,2.52,2.8762,2.0288,0.9792000000000001,0.0,1.1320000000000001,0.5164,19.651
2024-09-23,0.0,6.0,3.5984000000000003,2.5224,2.8658,2.0288,0.9792000000000001,0.0,1.1320000000000001,0.5164,19.643
2024-09-24,0.0,18.3,3.5968,2.5224,2.8778,2.0288,0.9792000000000001,0.0,1.1320000000000001,0.5164,31.9534
2024-09-25,0.0,18.3,3.5999999999999996,2.52,2.8714,2.0288,1.0,0.0,1.1320000000000001,0.5164,31.968600000000002
2024-09-26,0.0,18.3,3.5984000000000003,2.52,2.8682,2.0288,1.0,0.0,1.1320000000000001,0.5164,31.9638
2024-09-27,0.0,18.3,3.5976,2.52,2.8698,2.0288,0.9976,0.0,1.1320000000000001,0.5164,31.962200000000003
2024-09-30,0.0,18.3,3.5976,2.52,2.8722000000000003,2.0288,0.9984,0.0,1.1320000000000001,0.5164,31.9654
2024-10-02,0.0,18.3,3.572,2.5232,2.8474,2.0288,1.0224,0.0,1.1320000000000001,0.5164,31.9422
2024-10-03,0.0,18.3,3.5768,2.5472,2.8850000000000002,2.0608,1.0464,0.0,1.1328,0.5164,32.0654
2024-10-04,0.0,18.3,3.5456000000000003,2.5384,2.9074,2.0816,1.0464,0.0,1.1328,0.5164,32.0686
2024-10-07,0.0,18.3,3.5504000000000002,2.5384,2.913,2.1016,1.0568,0.0,1.1328,0.5164,32.1094
2024-10-08,0.0,18.3,3.5016,2.54,2.8842,2.0992,1.0584,0.0,1.1328,0.5164,32.0326
2024-10-09,0.0,18.3,3.504,2.5232,2.8826,2.0992,1.0584,0.0,1.1328,0.5164,32.016600000000004
2024-10-10,0.0,18.3,3.4504,2.5328,2.8194,2.1096,1.0528,0.0,1.1328,0.5164,31.914199999999997
2024-10-14,0.0,22.0752,3.4168,2.5328,2.7762,2.1176,1.0728,0.0,1.1328,0.5164,35.6406
2024-10-15,0.0,22.0752,3.4088,2.5096,2.7546,2.1176,1.072,0.0,1.1328,0.5164,35.587
2024-10-16,0.0,22.0752,3.3232,2.4864,2.7641999999999998,2.1216,1.072,0.0,1.1328,0.5164,35.4918
2024-10-17,0.0,22.0752,3.2975999999999996,2.4864,2.7514,2.1216,1.072,0.0,1.1328,0.5164,35.4534
2024-10-18,0.0,22.0752,3.2840000000000003,2.4856,2.7498,2.1216,1.072,0.0,1.1328,0.5164,35.437400000000004
2024-10-21,0.0,22.0752,3.2824,2.4848,2.753,2.1216,1.072,0.0,1.1328,0.5164,35.438199999999995
2024-10-22,0.0,22.0752,3.2824,2.484,2.7594,2.1216,1.0712,0.0,1.1328,0.5164,35.443000000000005
2024-10-23,0.0,22.0752,3.2824,2.4832,2.761,2.1216,1.0712,0.0,1.1328,0.5164,35.443799999999996
2024-10-24,0.0,22.0752,3.2904000000000004,2.4743999999999997,2.7634,2.1216,1.0712,0.0,1.1328,0.5164,35.4454
2024-10-25,0.0,22.0752,3.2872,2.4536,2.8098,2.1216,1.0704,0.0,1.1328,0.5164,35.467
2024-10-28,0.0,22.0752,3.2872,2.4512,2.8146,2.1296,1.0704,0.0,1.1328,0.5164,35.477399999999996
2024-10-29,0.0,22.0752,3.2872,2.4592,2.8138,2.1288,1.0704,0.0,1.1328,0.5164,35.4838
2024-10-30,0.0,22.0752,3.2872,2.4568,2.8154,2.1288,1.0704,0.0,1.1328,0.5164,35.483
2024-10-31,0.0,22.0752,3.2888,2.4568,2.8154,2.1288,1.0704,0.0,1.1328,0.5164,35.4846
2024-11-01,0.0,22.0752,3.2896,2.4528000000000003,2.817,2.1288,1.0704,0.0,1.1328,0.5164,35.483
2024-11-04,0.0,22.0752,3.2896,2.4528000000000003,2.8257999999999996,2.1288,1.0704,0.0,1.1328,0.5164,35.4918
2024-11-05,0.0,22.0752,3.2896,2.4528000000000003,2.8274,2.1288,1.0704,0.0,1.1328,0.5164,35.4934
2024-11-06,0.0,22.0752,3.2912,2.4568,2.8314,2.1288,1.0704,0.0,1.1328,0.5164,35.503
2024-11-07,0.0,22.0752,3.2912,2.4568,2.8234,2.1288,1.0744,0.0,1.1328,0.5164,35.499
2024-11-08,0.0,22.0752,3.2912,2.4992,2.8314,2.1288,1.0744,0.0,1.1328,0.5164,35.5494
2024-11-11,0.0,22.0752,3.2912,2.4992,2.8337999999999997,2.144,1.0744,0.0,1.1328,0.5164,35.567
2024-11-12,0.0,22.0752,3.2912,2.4928,2.8514,2.144,1.0744,0.0,1.1328,0.5164,35.578199999999995
2024-11-13,0.0,22.0752,3.2784,2.6824,2.8506,2.0288,1.0744,0.0,1.1328,0.5164,35.638999999999996
2024-11-14,0.0,22.0752,3.2784,2.9104,2.8506,2.0288,1.0504,0.0,1.1328,0.5164,35.843
2024-11-15,0.0,22.0752,3.2736,2.94,2.8466,2.0296000000000003,1.0504,0.0,1.1328,0.5164,35.8646
2024-11-18,0.0,22.0752,3.2424,2.9584,2.8218,2.0536,1.0488000000000002,0.0,1.1328,0.5164,35.849399999999996
2024-11-19,0.0,22.0752,3.2447999999999997,2.9488,2.8266,2.052,1.0472000000000001,0.0,1.1328,0.5164,35.843799999999995
2024-11-20,0.0,22.0752,3.2464,2.9968000000000004,2.8386,2.0511999999999997,1.0472000000000001,0.9896,1.1328,0.5164,36.8942
2024-11-21,0.0,22.0752,3.2456,3.0512,2.8378,2.0511999999999997,1.0464,0.9896,1.1328,0.5164,36.946200000000005
2024-11-22,0.0,22.0752,3.2472000000000003,3.0352,2.8354,2.0504000000000002,1.0464,0.9896,1.1328,0.5164,36.9286
2024-11-26,0.0,22.0752,3.2472000000000003,3.0352,2.8362,2.048,1.036,0.9896,1.1328,0.5164,36.9166
2024-11-27,0.0,22.0752,3.2424,3.1224,2.8474,2.048,1.0368,1.0096,1.0312,0.5164,36.9294
2024-11-28,51.00320000000001,22.0752,3.2439999999999998,3.1528,2.8482,2.044,1.0368,1.0096,1.0312,0.5164,87.9614
2024-11-29,51.00320000000001,22.0752,3.2432000000000003,3.1136,2.849,2.0431999999999997,1.0368,1.0096,1.0312,0.5164,87.9214
2024-12-02,51.00320000000001,22.0752,3.2359999999999998,3.1136,2.8538,2.0431999999999997,1.0376,1.0096,1.0312,0.5164,87.91980000000001
2024-12-03,51.00320000000001,22.0752,3.2359999999999998,3.1719999999999997,2.8514,2.0424,1.0376,1.0096,1.0312,0.5164,87.97500000000001
2024-12-04,51.00320000000001,22.0752,3.2359999999999998,3.1719999999999997,2.8506,2.0424,1.0376,1.0096,1.0312,0.5164,87.9742
2024-12-05,51.00320000000001,22.0752,3.3216,3.1719999999999997,2.8482,2.0424,1.0376,1.0096,1.0312,0.5164,88.0574
2024-12-06,51.00320000000001,22.0752,3.3192,3.1792000000000002,2.8474,2.0424,1.0376,1.0096,1.0312,0.5164,88.0614
2024-12-09,51.00320000000001,22.0752,3.3152,3.1792000000000002,2.8466,2.0424,1.0376,1.0096,1.0312,0.5164,88.0566
2024-12-10,51.00320000000001,22.0752,3.3168,3.1815999999999995,2.8458,2.0383999999999998,1.0376,1.0096,1.0312,0.5164,88.05579999999999
2024-12-11,51.00320000000001,22.0752,3.3952000000000004,3.1504,2.8362,2.0383999999999998,1.0368,1.0096,1.0312,0.5164,88.0926
2024-12-12,51.00320000000001,22.0752,3.4288,3.1504,2.8337999999999997,2.0368,1.036,1.0096,1.0312,0.5164,88.12140000000001
2024-12-13,51.00320000000001,22.0752,3.4416,3.1504,2.8186,2.0368,1.036,1.0096,1.0312,0.5164,88.119
2024-12-16,51.00320000000001,22.0752,3.4416,3.1504,2.8178,2.0344,1.036,1.0096,1.0312,0.5164,88.1158
2024-12-17,51.00320000000001,22.0752,3.4431999999999996,3.1568,2.8266,2.0296000000000003,1.036,1.008,1.0312,0.5164,88.1262
2024-12-18,51.00320000000001,22.0752,3.4591999999999996,3.2048,2.8466,2.0248,1.0376,1.0096,1.0312,0.5164,88.2086
2024-12-19,51.00320000000001,22.0752,3.4024,3.2127999999999997,2.8458,2.024,1.0376,1.0096,1.0312,0.5164,88.1582
2024-12-20,51.00320000000001,22.0752,3.4032,3.216,2.8442,2.0223999999999998,1.0376,1.0096,1.0312,0.5164,88.15899999999999
2024-12-23,51.00320000000001,22.0752,3.4000000000000004,3.216,2.8434,2.0223999999999998,1.0376,1.0096,1.0312,0.5164,88.155
2024-12-27,51.00320000000001,22.0752,3.3992,3.216,2.8426,2.0223999999999998,1.0376,1.0096,1.0312,0.5164,88.1534
2024-12-30,51.00320000000001,22.0752,3.4128,3.2536,2.8354,2.0223999999999998,1.0376,1.0096,1.0312,0.5164,88.1974
2025-01-02,51.00320000000001,22.0752,3.4264,3.2592000000000003,2.8257999999999996,2.0136000000000003,1.0376,1.0096,1.0312,0.5164,88.1982
2025-01-03,51.00320000000001,22.0752,3.4248000000000003,3.26,2.8154,2.0136000000000003,1.0376,1.0096,1.0312,0.5164,88.187
2025-01-06,51.00320000000001,22.0752,3.4192,3.26,2.801,2.0136000000000003,1.0376,1.0096,1.0312,0.5164,88.167
2025-01-07,51.00320000000001,22.0752,3.4232,3.2736,2.7466,2.012,1.0376,1.0096,1.0312,0.5164,88.1286
2025-01-08,51.00320000000001,22.0752,3.4335999999999998,3.2736,2.7498,2.012,1.0376,1.0096,1.0312,0.5164,88.1422
2025-01-09,51.00320000000001,22.0752,3.4335999999999998,3.2807999999999997,2.7506,2.0143999999999997,1.0384,1.0096,1.0312,0.5164,88.1534
2025-01-10,51.00320000000001,22.0752,3.4216,3.2927999999999997,2.7546,2.0072,1.0392000000000001,1.0096,1.0312,0.5164,88.151
2025-01-13,51.00320000000001,22.0752,3.4216,3.2967999999999997,2.7546,2.0072,1.0392000000000001,1.0096,1.0312,0.5164,88.155
2025-01-14,51.00320000000001,22.0752,3.4208000000000003,3.2967999999999997,2.7546,2.0072,1.0392000000000001,1.0096,1.0312,0.5164,88.1542
2025-01-15,51.00320000000001,22.0752,3.476,3.3223999999999996,2.7578,2.0096,1.0424,1.0096,0.9312,0.5164,88.1438
2025-01-16,51.00320000000001,22.0752,3.4736000000000002,3.3304,2.7522,2.0128,1.0424,1.0096,0.9296000000000001,0.5164,88.1454
2025-01-20,51.00320000000001,22.0752,3.4751999999999996,3.3304,2.7522,2.0168,1.0424,1.0096,0.9296000000000001,0.5164,88.151
2025-01-21,0.0031999999999999997,51.075199999999995,3.4776000000000002,3.2792000000000003,2.753,2.0368,1.044,1.0096,0.9296000000000001,0.5164,66.1246
